"Product title","Product vendor","Product type","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Life and Death in One Breath","Isha Life","Books - English",6,72,0,0,72,0,72
"Womens Organic Cotton Sadhana Pyjama - White","Isha Life SG","Clothing - Women's Pants",2,72,0,0,72,0,72
"Unisex Black Adiyogi Printed Full Sleeve T-Shirt","Isha Life SG","Clothing - Unisex T-Shirts",4,70,0,0,70,0,70
"Unisex Cotton Anand Copper Printed T-shirt - Olive","Isha Life SG","Clothing - Unisex T-Shirts",4,70,0,0,70,0,70
"Unisex Cotton Karma Copper Printed T-shirt - Grey","A.P. Exports","Clothing - Unisex T-Shirts",4,70,0,0,70,0,70
"Devi Abhishekam kit","Isha Life SG",,4,64,0,0,64,0,64
"Unisex Save Soil Short Sleeve T-Shirt","Isha Life SG","Clothing - Unisex T-Shirts",7,72,0,-9,63,0,63
"Handcrafted Antique Brass Diya (Deepam)","Isha Life","Home Decor - Deepam / Diya",7,72,0,-9,63,0,63
"Bamboo Toothbrush - Kids","Isha Life SG","Body Care - Toothbrush",12,65,0,-5,60,0,60
"Adiyogi Statue Metal - 4 inch - Antique Nickel","A.P. Exports","Home Decor",1,60,0,0,60,0,60
"Thread for Restringing Rudraksha Mala","Isha Life SG","Consecrated - Rudrakshas",28,56,0,0,56,0,56
"Adiyogi Chant Box & Night Lamp - Regular","Isha Life SG","Home Decor - Chant Box",3,54,0,0,54,0,54
"Trishul Adjustable Brass Cuff","A.P. Exports","Jewellery - Bracelets",6,54,0,0,54,0,54
"Unisex Blue Adiyogi Printed Full Sleeve T-Shirt","A.P. Exports","Clothing - Unisex T-Shirts",3,52.5,0,0,52.5,0,52.5
"Moringa Energy Bar - Pack of 10","A.P. Exports","Natural Foods",5,50,0,0,50,0,50
"Copper Water Bottle Engraved with Sadhguru Quote, 700 ml","Isha Life SG","Copper - Drinkware",1,50,0,0,50,0,50
"Nilibhrngadi Thailam (Hair Oil), 100 ml","A.P. Exports","Body Care - Hair Oils",5,50,0,0,50,0,50
