"Product title","Product variant title","Product variant SKU","Net items sold","Gross sales","Discounts","Returns","Net sales","Taxes","Total sales"
"Kundalini Charms Bracelet","Default Title","0113684",3,45,0,0,45,0,45
"Incense Holder Elm Leaf","Default Title","0601156",1,45,0,0,45,0,45
"Copper Tea Light Holder","Default Title","0105208",3,45,0,0,45,0,45
"Amla Tablet, 60 pcs - Immunity booster","Default Title","8905795001251",9,45,0,0,45,0,45
"Organic Mens Om Kurta Maroon","L","0201201L",2,44,0,0,44,0,44
"Unisex Moon Printed Track Pants - Light Grey","Medium","0401141M",2,44,0,0,44,0,44
"Organic Dhoti Pant - Black","XL","0201110XL",2,44,0,0,44,0,44
"Moringa Energy Bar","Default Title","NF0012800000",44,50,0,-6,44,0,44
"Copper Earring - Style 4","Default Title","0113505",4,40,0,0,40,0,40
"Organic Unisex Printed Dhoti Pant Indigo","S","0201233",1,40,0,0,40,0,40
"Wealthier Millet Diet Book","Default Title","8905795001497",8,45,0,-5,40,0,40
"Joy 24x7","Default Title","9788179929148",4,40,0,0,40,0,40
"Unisex IE 7 Step T-shirt","XS","CA0118700100",4,60,-22.05,0,37.95,0,37.95
"Men’s Organic Cotton Sadhana Pyjama - White","L","0201120L",1,36,0,0,36,0,36
"Womens Organic Cotton Sadhana Pyjama - White","S","0202536S",1,36,0,0,36,0,36
"Womens Organic Cotton Sadhana Pyjama - White","L","0202536L",1,36,0,0,36,0,36
"Unisex Cotton Moon Silver Printed T-shirt - Dark Grey","M","0401131M",2,35,0,0,35,0,35
"Indian Experience Meditation Mat","Default Title","0402059",1,70,0,-35,35,0,35
"Melange T Shirt Moon Rose with Copper","L","0401133L",2,35,0,0,35,0,35
"Unisex Peach Cotton Ananta Copper Printed T-Shirt","S","0401134S",2,35,0,0,35,0,35
"Unisex Black Adiyogi Printed Full Sleeve T-Shirt","L","0401177L",2,35,0,0,35,0,35
"Men Organic Cotton Embroidered Aum Kurta - White","M","0201102M",2,35,0,0,35,0,35
"Unisex Cotton Karma Copper Printed T-shirt - Grey","S","0401138S",2,35,0,0,35,0,35
"Unisex Blue Adiyogi Printed Full Sleeve T-Shirt","M","0401176M",2,35,0,0,35,0,35
"Unisex Cotton Moon Silver Printed T-shirt - Dark Grey","L","0401131L",2,35,0,0,35,0,35
"Copper Earring - Style 3","Default Title","0113504",3,30,0,0,30,0,30
